agent_id,instrument_id,stimulus_id,iteration,trial_index,stimulus_type,stimulus_description,response_option_index,response_description,response_numeric,response_time,response_validation_time
008,psqi,psqi_v2021.03_psqi_m_1,1,1,message,The following questions relate to your usual sleep habits during the past month *only*. <br />Your answers should indicate the most accurate reply for the *majority* of days and nights in the past month.<br /><br />Please answer all questions.,NA,,NA,5.9559999999999995,5.9559999999999995
008,psqi,psqi_q_1,1,2,question,When have you usually gone to bed at night?,NA,22:00,NA,19.977,20.054
008,psqi,psqi_q_2,1,3,question,How long (in minutes) has it usually taken you to fall asleep each night?,NA,20,20,5.229,5.355
008,psqi,psqi_q_3,1,4,question,When have you usually gotten up in the morning?,NA,06:00,NA,6.157,6.227
008,psqi,psqi_q_4,1,5,question,How many hours of *actual sleep* did you get at night? (This may be different than the number of hours you spend in bed.),NA,6:30,NA,22.275,22.884
008,psqi,frequency_trouble_sleep_because;psqi-past_q_6,1,6,question,Could not get to sleep within 30 minutes,3,once or twice a week,2,6.223,7.184
008,psqi,frequency_trouble_sleep_because;psqi-past_q_7,1,7,question,Woke up in the middle of the night or early morning,3,once or twice a week,2,5.423,6.29
008,psqi,frequency_trouble_sleep_because;psqi-past_q_8,1,8,question,Had to get up to use the bathroom,3,once or twice a week,2,4.846,5.763
008,psqi,frequency_trouble_sleep_because;psqi-past_q_9,1,9,question,Could not breathe comfortably,1,not during the past month,0,3.564,4.543
008,psqi,frequency_trouble_sleep_because;psqi-past_q_10,1,10,question,Coughed or snored loudly,4,three or more times a week,3,4.044,4.949
008,psqi,frequency_trouble_sleep_because;psqi-past_q_11,1,11,question,Felt too cold,3,once or twice a week,2,3.08,4.044
008,psqi,frequency_trouble_sleep_because;psqi-past_q_12,1,12,question,Felt too hot,3,once or twice a week,2,1.213,2.218
008,psqi,frequency_trouble_sleep_because;psqi-past_q_13,1,13,question,Had bad dreams,3,once or twice a week,2,2.605,3.5300000000000002
008,psqi,frequency_trouble_sleep_because;psqi-past_q_14,1,14,question,Had pain,1,not during the past month,0,2.798,3.732
008,psqi,frequency_trouble_sleep;psqi_q_15,1,15,question,for other reasons,1,not during the past month,0,2.133,3.048
008,psqi,psqi_q_19,1,16,question,How would you rate your sleep quality overall?,3,fairly bad,2,2.8449999999999998,3.623
008,psqi,psqi_q_16,1,17,question,"How often have you taken medicine (prescribed or ""over the counter"") to help you sleep?",1,not during the past month,0,4.041,5.031
008,psqi,psqi_q_17,1,18,question,"How often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",3,once or twice a week,2,6.534,7.47
008,psqi,psqi_q_18,1,19,question,How much of a problem has it been for you to keep up enough enthusiasm to get things done?,3,somewhat a problem,2,3.452,4.283
008,psqi,psqi_v2021.03_psqi_m_1,2,1,message,The following questions relate to your usual sleep habits during the past month *only*. <br />Your answers should indicate the most accurate reply for the *majority* of days and nights in the past month.<br /><br />Please answer all questions.,NA,,NA,4.651,4.651
008,psqi,psqi_q_1,2,2,question,When have you usually gone to bed at night?,NA,10:00,NA,13.579,13.72
008,psqi,psqi_q_2,2,3,question,How long (in minutes) has it usually taken you to fall asleep each night?,NA,60,60,7.896,8.013
008,psqi,psqi_q_3,2,4,question,When have you usually gotten up in the morning?,NA,06:00,NA,8.35,8.486
008,psqi,psqi_q_4,2,5,question,How many hours of *actual sleep* did you get at night? (This may be different than the number of hours you spend in bed.),NA,07:00,NA,9.159,9.254
008,psqi,frequency_trouble_sleep_because;psqi-past_q_6,2,6,question,Could not get to sleep within 30 minutes,4,three or more times a week,3,8.006,8.946
008,psqi,frequency_trouble_sleep_because;psqi-past_q_7,2,7,question,Woke up in the middle of the night or early morning,3,once or twice a week,2,6.541,7.728
