agent_id,instrument_id,stimulus_id,iteration,trial_index,stimulus_type,stimulus_description,response_option_index,response_description,response_numeric,response_time,response_validation_time
002,x_bfi2,bfi-2_m_1,1,1,message,"Here are a number of characteristics that may or may not apply to you.<br />For example, do you agree that you are someone who *likes to spend time with others?*<br /><br />Please indicate the extent to which you agree or disagree with each of the following statements.",NA,NA,NA,8.242,8.242
002,x_bfi2,bfi-2_q_1,1,2,question,"is outgoing, sociable.",6,agree,0.66,2.858,4.111
002,x_bfi2,bfi-2_q_2,1,3,question,"is compassionate, has a soft heart.",7,strongly agree,1,2.713,3.361
002,x_bfi2,bfi-2_q_3,1,4,question,tends to be disorganized.,5,somewhat agree,0.33,2.9130000000000003,3.49
002,x_bfi2,bfi-2_q_4,1,5,question,"is relaxed, handles stress well.",3,somewhat disagree,-0.33,2.865,3.623
002,x_bfi2,bfi-2_q_5,1,6,question,has few artistic interests.,2,disagree,-0.66,1.414,2.018
002,x_bfi2,bfi-2_q_6,1,7,question,has an assertive personality.,3,somewhat disagree,-0.33,1.746,2.346
002,x_bfi2,bfi-2_q_7,1,8,question,"is respectful, treats others with respect.",6,agree,0.66,4.064,4.682
002,x_bfi2,bfi-2_q_8,1,9,question,tends to be lazy.,5,somewhat agree,0.33,1.605,2.195
002,x_bfi2,bfi-2_q_9,1,10,question,stays optimistic after experiencing a setback.,5,somewhat agree,0.33,2.634,3.2
002,x_bfi2,bfi-2_q_10,1,11,question,is curious about many different things.,6,agree,0.66,33.635,34.385
002,x_bfi2,bfi-2_q_11,1,12,question,rarely feels excited or eager.,2,disagree,-0.66,6.17,6.878
002,x_bfi2,bfi-2_q_12,1,13,question,tends to find fault with others.,5,somewhat agree,0.33,1.751,2.225
002,x_bfi2,bfi-2_q_13,1,14,question,"is dependable, steady.",5,somewhat agree,0.33,1.386,1.83
002,x_bfi2,bfi-2_q_14,1,15,question,"is moody, has up and down mood swings.",4,neither agree nor disagree,0,1.748,2.231
002,x_bfi2,bfi-2_q_15,1,16,question,"is inventive, finds clever ways to do things.",5,somewhat agree,0.33,1.91,2.736
002,x_bfi2,bfi-2_q_16,1,17,question,tends to be quiet.,4,neither agree nor disagree,0,2.339,2.765
002,x_bfi2,bfi-2_q_17,1,18,question,feels little sympathy for others.,2,disagree,-0.66,3.54,4.162
002,x_bfi2,bfi-2_q_18,1,19,question,"is systematic, likes to keep things in order.",3,somewhat disagree,-0.33,2.611,3.053
002,x_bfi2,bfi-2_q_19,1,20,question,can be tense.,5,somewhat agree,0.33,1.096,1.544
002,x_bfi2,bfi-2_q_20,1,21,question,"is fascinated by art, music, or literature.",3,somewhat disagree,-0.33,2.606,3.008
002,x_bfi2,bfi-2_q_21,1,22,question,"is dominant, acts as a leader.",4,neither agree nor disagree,0,1.497,1.929
002,x_bfi2,bfi-2_q_22,1,23,question,starts arguments with others.,2,disagree,-0.66,2.259,2.846
002,x_bfi2,bfi-2_q_23,1,24,question,has difficulty getting started on tasks.,5,somewhat agree,0.33,3.295,3.861
002,x_bfi2,bfi-2_q_24,1,25,question,"feels secure, comfortable with self.",3,somewhat disagree,-0.33,2.555,3.135
002,x_bfi2,bfi-2_q_25,1,26,question,"avoids intellectual, philosophical discussions.",3,somewhat disagree,-0.33,183.024,183.52
002,x_bfi2,bfi-2_q_26,1,27,question,is less active than other people.,1,strongly disagree,-1,2.154,2.697
002,x_bfi2,bfi-2_q_27,1,28,question,has a forgiving nature.,6,agree,0.66,1.968,2.55
002,x_bfi2,bfi-2_q_28,1,29,question,can be somewhat careless.,5,somewhat agree,0.33,1.648,2.454
002,x_bfi2,bfi-2_q_29,1,30,question,"is emotionally stable, not easily upset.",4,neither agree nor disagree,0,1.913,2.402
002,x_bfi2,bfi-2_q_30,1,31,question,has little creativity.,2,disagree,-0.66,1.429,1.919
002,x_bfi2,bfi-2_q_31,1,32,question,"is sometimes shy, introverted.",5,somewhat agree,0.33,2.264,2.916
002,x_bfi2,bfi-2_q_32,1,33,question,is helpful and unselfish with others.,6,agree,0.66,2.332,7.163
002,x_bfi2,bfi-2_q_33,1,34,question,keeps things neat and tidy.,3,somewhat disagree,-0.33,4.9879999999999995,5.531
002,x_bfi2,bfi-2_q_34,1,35,question,worries a lot.,2,disagree,-0.66,1.683,2.206
002,x_bfi2,bfi-2_q_35,1,36,question,values art and beauty.,5,somewhat agree,0.33,1.598,2.159
002,x_bfi2,bfi-2_q_36,1,37,question,finds it hard to influence people.,3,somewhat disagree,-0.33,2.609,3.119
002,x_bfi2,bfi-2_q_37,1,38,question,is sometimes rude to others.,2,disagree,-0.66,3.164,3.721
